구,동,단지명,공시제곱미터당가_중위,호수,면적타입수
강북구,미아동,(121-11),2490149,14,4
강북구,미아동,(1261-133),6675531,3,3
강북구,미아동,(1261-136),7200000,3,2
강북구,미아동,(1261-15),7212609,3,2
강북구,미아동,(1261-22),6567235,3,2
강북구,미아동,(1261-279),6676631,3,1
강북구,미아동,(1261-305),6411229,5,3
강북구,미아동,(1261-32),6814674,3,3
강북구,미아동,(1261-473),7381776,5,4
강북구,미아동,(1264-136),5918160,5,2
강북구,미아동,(1264-141),6778114,4,3
강북구,미아동,(1264-148),4031839,3,1
강북구,미아동,(1264-150),5963393,3,2
강북구,미아동,(1264-151),7318573,3,2
강북구,미아동,(1264-152),6397090,3,1
강북구,미아동,(1264-157),5971858,3,2
강북구,미아동,(1264-159),4386232,3,3
강북구,미아동,(1264-173),5018468,8,8
강북구,미아동,(1264-177),5952667,4,3
강북구,미아동,(1264-178),6461174,4,4
강북구,미아동,(1264-180),5966319,4,3
강북구,미아동,(1264-186),6095551,5,3
강북구,미아동,(1264-190),8819906,3,3
강북구,미아동,(1264-202),5165329,3,3
강북구,미아동,(1264-208),5485232,5,5
강북구,미아동,(1264-210),4725193,2,2
강북구,미아동,(129-28),2263549,8,2
강북구,미아동,(1341-10),2647000,4,2
강북구,미아동,(1341-12),2918271,2,1
강북구,미아동,(1341-6),2782511,6,1
강북구,미아동,(136-21),3604036,4,1
강북구,미아동,(137-10),4302536,3,3
강북구,미아동,(139-7),5333333,3,1
강북구,미아동,(139-89),4051565,5,5
강북구,미아동,(164-15),2208835,3,1
강북구,미아동,(164-32),2285156,4,1
강북구,미아동,(164-7),1727756,4,4
강북구,미아동,(165-40),1487889,3,3
강북구,미아동,(187-61),2102132,4,3
강북구,미아동,(198-15),3053787,3,1
강북구,미아동,(217-107),3216072,4,2
강북구,미아동,(218-55),2315647,3,2
강북구,미아동,(218-56),2285379,4,4
강북구,미아동,(224-31),4189551,16,1
강북구,미아동,(228-6),2655473,3,2
강북구,미아동,(229-16),2102131,6,2
강북구,미아동,(239-2),2459158,2,1
강북구,미아동,(258-105),2766884,3,2
강북구,미아동,(258-115),3091787,5,2
강북구,미아동,(258-117),2859808,6,3
강북구,미아동,(258-121),2955889,6,2
강북구,미아동,(258-122),2783842,6,1
강북구,미아동,(258-123),3063039,4,2
강북구,미아동,(258-127),2867579,6,1
강북구,미아동,(258-128),3071172,2,1
강북구,미아동,(258-15),3083923,6,1
강북구,미아동,(258-151),2964651,6,3
강북구,미아동,(258-160),3062632,6,2
강북구,미아동,(258-164),2793472,6,2
강북구,미아동,(258-165),2859412,6,1
강북구,미아동,(258-169),3073845,6,1
강북구,미아동,(258-193),2779852,6,4
강북구,미아동,(258-208),2825452,6,1
강북구,미아동,(258-209),2782685,6,2
강북구,미아동,(258-210),2839630,6,2
강북구,미아동,(258-212),2782685,6,2
강북구,미아동,(258-213),3154253,2,1
강북구,미아동,(258-219),2788480,6,3
강북구,미아동,(258-223),2910999,6,2
강북구,미아동,(258-225),2853363,6,1
강북구,미아동,(258-24),2848534,6,1
강북구,미아동,(258-241),2875520,3,1
강북구,미아동,(258-257),2862433,6,4
강북구,미아동,(258-266),2927231,6,3
강북구,미아동,(258-269),3001694,5,1
강북구,미아동,(258-270),2942281,6,2
강북구,미아동,(258-273),2524637,4,3
강북구,미아동,(258-274),2993000,6,1
강북구,미아동,(258-29),2811824,6,1
강북구,미아동,(258-312),2761740,4,2
강북구,미아동,(258-333),2729318,4,2
강북구,미아동,(258-334),3354510,5,4
강북구,미아동,(258-336),2757675,4,2
강북구,미아동,(258-34),2842472,6,1
강북구,미아동,(258-343),2494381,4,2
강북구,미아동,(258-36),2879341,6,1
강북구,미아동,(258-37),2890299,6,2
강북구,미아동,(258-40),2978621,6,1
강북구,미아동,(258-42),2769230,6,1
강북구,미아동,(258-45),2818853,6,1
강북구,미아동,(258-461),2983538,6,4
강북구,미아동,(258-468),2841852,6,2
강북구,미아동,(258-469),2874404,6,1
강북구,미아동,(258-47),2937884,6,1
강북구,미아동,(258-472),2832765,6,3
강북구,미아동,(258-481),2827452,6,1
강북구,미아동,(258-482),2845719,6,2
강북구,미아동,(258-483),3057384,6,2
강북구,미아동,(258-484),2848399,6,2
강북구,미아동,(258-485),2845050,6,2
강북구,미아동,(258-486),2939770,6,2
강북구,미아동,(258-487),2834786,6,1
강북구,미아동,(258-492),2480885,4,3
강북구,미아동,(258-495),3001694,5,1
강북구,미아동,(258-497),2925198,6,3
강북구,미아동,(258-498),2966987,6,3
강북구,미아동,(258-499),2915880,6,3
강북구,미아동,(258-50),2869931,6,1
강북구,미아동,(258-500),2932298,6,3
강북구,미아동,(258-501),2932298,6,3
강북구,미아동,(258-502),2960017,6,3
강북구,미아동,(258-503),2936115,6,3
강북구,미아동,(258-504),2900725,6,2
강북구,미아동,(258-505),2446616,4,3
강북구,미아동,(258-51),2860286,6,1
